1）DPS协议错误码对应客户端的错误码表：
设备端错误码定义在文件NPC_MON_ConsDef.h
客户端的错误定义在文件NPC_MPI_MON_DataDef.h

NPC_D_MON_CSD_DPS_ERROR_CODE_SUCCESS			NPC_D_MPI_MON_ERROR_SUCCESS			//成功

NPC_D_MON_CSD_DPS_ERROR_CODE_NOT_SUPPORT_OP		NPC_D_MPI_MON_ERROR_NOT_SUPPORT_OP		//不支持该操作
NPC_D_MON_CSD_DPS_ERROR_CODE_BAN_MODIFY			NPC_D_MPI_MON_ERROR_BAN_MODIFY			//禁止修改
NPC_D_MON_CSD_DPS_ERROR_CODE_MSGFUNC_ERROR		NPC_D_MPI_MON_ERROR_ERROR_FUNCID		//消息功能错误
NPC_D_MON_CSD_DPS_ERROR_CODE_PARAM_ERROR		NPC_D_MPI_MON_ERROR_PROTOCOL_ERROR		//参数错误
NPC_D_MON_CSD_DPS_ERROR_CODE_ID_ERROR			NPC_D_MPI_MON_ERROR_ID_ERROR			//ID错误

NPC_D_MON_CSD_DPS_ERROR_CODE_OTHER			NPC_D_MPI_MON_ERROR_OTHER_FAIL			//其它原因

NPC_D_MON_CSD_DPS_ERROR_CODE_OPEN_STREAM_FAIL		NPC_D_MPI_MON_ERROR_OPEN_STREAM_FAIL		//打开媒体流失败（打开实时预览失败）
NPC_D_MON_CSD_DPS_ERROR_CODE_NOT_SUPPORT_SUBSTREAM	NPC_D_MPI_MON_ERROR_NOT_SUPPORT_SUBSTREAM	//不支持该子码流
NPC_D_MON_CSD_DPS_ERROR_CODE_NOT_SUPPORT_PTZ		NPC_D_MPI_MON_ERROR_NOT_SUPPORT_PTZ		//不支持云台控制
NPC_D_MON_CSD_DPS_ERROR_CODE_NOT_SUPPORT_FORCE_I_FRAME	NPC_D_MPI_MON_ERROR_NOT_SUPPORT_FORCE_I_FRAME	//不支持强制I帧
NPC_D_MON_CSD_DPS_ERROR_CODE_NOT_SUPPORT_TALK		NPC_D_MPI_MON_ERROR_NOT_SUPPORT_TALK		//不支持语音对讲
NPC_D_MON_CSD_DPS_ERROR_CODE_CHANNEL_NO_ERROR		NPC_D_MPI_MON_ERROR_CHANNEL_NO_ERROR		//通道号错误
NPC_D_MON_CSD_DPS_ERROR_CODE_SUB_STREAM_NO_ERROR	NPC_D_MPI_MON_ERROR_SUB_STREAM_NO_ERROR		//子码流号错误
NPC_D_MON_CSD_DPS_ERROR_CODE_START_TALK_FAIL		NPC_D_MPI_MON_ERROR_START_TALK_FAIL		//启动对讲失败
NPC_D_MON_CSD_DPS_ERROR_CODE_USERNAME_ERROR		NPC_D_MPI_MON_ERROR_USERID_ERROR		//用户名错误
NPC_D_MON_CSD_DPS_ERROR_CODE_PASSWORD_ERROR		NPC_D_MPI_MON_ERROR_USERPWD_ERROR		//密码错误

NPC_D_MON_CSD_DPS_ERROR_CODE_WITHOUT_PERMISSION		NPC_D_MPI_MON_ERROR_REJECT_ACCESS		//无此权限
NPC_D_MON_CSD_DPS_ERROR_CODE_NO_SUBSCRIBE		NPC_D_MPI_MON_ERROR_NO_SUBSCRIBE		//没有订阅
NPC_D_MON_CSD_DPS_ERROR_CODE_QUERY_FILE_FAIL		NPC_D_MPI_MON_ERROR_FILE_NONENTITY		//查询文件失败
NPC_D_MON_CSD_DPS_ERROR_CODE_RESOURCE_USED		NPC_D_MPI_MON_ERROR_RESOURCE_USED		//资源已被占用
NPC_D_MON_CSD_DPS_ERROR_CODE_RESOURCE_NOT_OPEN		NPC_D_MPI_MON_ERROR_RESOURCE_NOT_OPEN		//资源已未被打开
NPC_D_MON_CSD_DPS_ERROR_CODE_RESOURCE_NO_IDLE		NPC_D_MPI_MON_ERROR_RESOURCE_NO_IDLE		//无空闲资源可使用
NPC_D_MON_CSD_DPS_ERROR_CODE_RESOURCE_NOT_EXIST		NPC_D_MPI_MON_ERROR_RESOURCE_NOT_EXIST		//资源不存在
NPC_D_MON_CSD_DPS_ERROR_CODE_RESOURCE_OPEN_FAIL		NPC_D_MPI_MON_ERROR_RESOURCE_OPEN_FAIL		//打开资源失败
NPC_D_MON_CSD_DPS_ERROR_CODE_FILE_OP_FAIL		NPC_D_MPI_MON_ERROR_FILE_OP_FAIL		//文件操作失败

NPC_D_MON_CSD_DPS_ERROR_CODE_SUCCESS_AND_RESTART	NPC_D_MPI_MON_ERROR_SUCCESS_AND_RESTART		//操作成功，但需要重启设备才生效
